18
"room_right_bed",-6.67002805349,0.133941284293,0,0,0.934011886921,0.357241927958
"room_right_closet",-4.95839506537,1.00612021617,0,0,0.770873053113,0.636988803656
"room_right_front",-4.90081650987,-0.77041212564,0,0,0.661304125625,0.750117893022
"room_right_toilet",-8.44922006649,-0.0364815174967,0,0,-0.762851164862,0.646574125888
"room_left_front",-4.87816948679,-1.39963734413,0,0,-0.730697367573,0.682701513856
"room_left_bed",-7.27719836777,-3.21572868923,0,0,-0.946601897332,0.322404788995
"room_left_toilet",-6.02253234687,-3.0176874532,0,0,0.74635778246,0.665544935043
"room_left_closet",-4.99326271658,-4.06343596186,0,0,-0.705149282806,0.709058875523
"main_toilet",-3.69885686457,-0.814242013903,0,0,0.736677169138,0.676244592193
"room_center_front",-3.74342143005,-1.45605027098,0,0,-0.700581710841,0.713572187262
"room_center_bed",-3.32958963252,-3.41092099407,0,0,-0.331908868681,0.943311455931
"hallway",-2.63544751426,-1.13860725851,0,0,-0.997407474523,0.0719606125983
"kitchen",-1.21363343643,0.50896462641,0,0,0.917992206713,0.396598422103
"living_room_desk",0.809398277115,-0.938875204533,0,0,0.705653343115,0.708557237879
"living_room_sofa",-0.326398044394,-2.43739563986,0,0,-0.959812318618,0.280642678559
"living_room_tv",0.713953395933,-2.16035035514,0,0,-0.113143594746,0.993578646594
"living_room_inside_corner",0.802551409667,-3.87325645971,0,0,-0.966780646481,0.255607475614
"home_base",-0.982753477353,-1.83597089136,0,0,0.399719416273,0.916637544646
